match_id,season,date,kickoff_time,home_team_id,away_team_id,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_history_matches,away_history_matches,home_home_goals_scored_avg,home_home_goals_conceded_avg,home_home_matches,away_away_goals_scored_avg,away_away_goals_conceded_avg,away_away_matches,home_recent5_scored,home_recent5_conceded,home_recent5_matches,away_recent5_scored,away_recent5_conceded,away_recent5_matches,home_recent10_scored,home_recent10_conceded,home_recent10_matches,away_recent10_scored,away_recent10_conceded,away_recent10_matches,league_matches_before,league_goals_avg,target_total_goals,target_over25
2015_16_20150913_LEI_AVL,2015_16,2015-09-13,,LEI,AVL,2.0,1.25,1.0,1.25,4,4,2.5,1.5,2,1.0,1.0,2,2.0,1.25,4,1.0,1.25,4,2.0,1.25,4,1.0,1.25,4,47,2.4468085106382977,5,1
2015_16_20150913_SUN_TOT,2015_16,2015-09-13,,SUN,TOT,1.5,2.5,0.75,1.0,4,4,1.0,2.0,2,0.5,1.0,2,1.5,2.5,4,0.75,1.0,4,1.5,2.5,4,0.75,1.0,4,48,2.5,1,0
2015_16_20150914_WHU_NEW,2015_16,2015-09-14,,WHU,NEW,2.25,1.5,0.5,1.25,4,4,2.0,3.0,2,0.0,1.0,2,2.25,1.5,4,0.5,1.25,4,2.25,1.5,4,0.5,1.25,4,49,2.4693877551020407,2,0
2015_16_20150919_AVL_WBA,2015_16,2015-09-19,,AVL,WBA,1.2,1.6,0.6,1.2,5,5,1.0,1.5,2,0.5,0.0,2,1.2,1.6,5,0.6,1.2,5,1.2,1.6,5,0.6,1.2,5,50,2.46,1,0
2015_16_20150919_BOU_SUN,2015_16,2015-09-19,,BOU,SUN,1.2,1.8,1.2,2.2,5,5,0.5,1.0,2,2.0,3.0,2,1.2,1.8,5,1.2,2.2,5,1.2,1.8,5,1.2,2.2,5,51,2.4313725490196076,2,0
2015_16_20150919_CHE_ARS,2015_16,2015-09-19,,CHE,ARS,1.4,2.4,1.0,0.6,5,5,1.5,2.0,2,1.5,0.5,2,1.4,2.4,5,1.0,0.6,5,1.4,2.4,5,1.0,0.6,5,52,2.423076923076923,2,0
2015_16_20150919_MCI_WHU,2015_16,2015-09-19,,MCI,WHU,2.2,0.0,2.2,1.2,5,5,2.5,0.0,2,2.5,0.0,2,2.2,0.0,5,2.2,1.2,5,2.2,0.0,5,2.2,1.2,5,53,2.4150943396226414,3,1
2015_16_20150919_NEW_WAT,2015_16,2015-09-19,,NEW,WAT,0.4,1.4,0.6,0.8,5,5,1.0,1.5,2,1.0,2.0,2,0.4,1.4,5,0.6,0.8,5,0.4,1.4,5,0.6,0.8,5,54,2.425925925925926,3,1
2015_16_20150919_STK_LEI,2015_16,2015-09-19,,STK,LEI,0.6,1.4,2.2,1.4,5,5,0.0,1.0,2,1.5,1.0,2,0.6,1.4,5,2.2,1.4,5,0.6,1.4,5,2.2,1.4,5,55,2.4363636363636365,4,1
2015_16_20150919_SWA_EVE,2015_16,2015-09-19,,SWA,EVE,1.4,1.0,1.6,1.0,5,5,2.0,0.5,2,1.5,0.0,2,1.4,1.0,5,1.6,1.0,5,1.4,1.0,5,1.6,1.0,5,56,2.4642857142857144,0,0
2015_16_20150920_LIV_NOR,2015_16,2015-09-20,,LIV,NOR,0.6,1.2,1.6,1.8,5,5,0.5,1.5,2,1.5,2.0,2,0.6,1.2,5,1.6,1.8,5,0.6,1.2,5,1.6,1.8,5,57,2.4210526315789473,2,0
2015_16_20150920_SOU_MUN,2015_16,2015-09-20,,SOU,MUN,1.0,1.0,1.2,0.6,5,5,1.5,1.5,2,1.0,1.0,2,1.0,1.0,5,1.2,0.6,5,1.0,1.0,5,1.2,0.6,5,58,2.413793103448276,5,1
2015_16_20150920_TOT_CRY,2015_16,2015-09-20,,TOT,CRY,0.8,0.8,1.6,1.2,5,5,1.0,1.0,2,2.5,1.0,2,0.8,0.8,5,1.6,1.2,5,0.8,0.8,5,1.6,1.2,5,59,2.457627118644068,1,0
2015_16_20150926_LEI_ARS,2015_16,2015-09-26,,LEI,ARS,2.1666666666666665,1.5,0.8333333333333334,0.8333333333333334,6,6,2.6666666666666665,1.6666666666666667,3,1.0,1.0,3,1.8,1.4,5,1.0,0.6,5,2.1666666666666665,1.5,6,0.8333333333333334,0.8333333333333334,6,60,2.433333333333333,7,1
2015_16_20150926_LIV_AVL,2015_16,2015-09-26,,LIV,AVL,0.6666666666666666,1.1666666666666667,1.0,1.5,6,6,0.6666666666666666,1.3333333333333333,3,1.3333333333333333,1.6666666666666667,3,0.6,1.4,5,1.0,1.8,5,0.6666666666666666,1.1666666666666667,6,1.0,1.5,6,61,2.5081967213114753,5,1
2015_16_20150926_MUN_SUN,2015_16,2015-09-26,,MUN,SUN,1.5,0.8333333333333334,1.0,2.1666666666666665,6,6,1.3333333333333333,0.3333333333333333,3,1.3333333333333333,2.6666666666666665,3,1.6,1.0,5,0.8,1.8,5,1.5,0.8333333333333334,6,1.0,2.1666666666666665,6,62,2.5483870967741935,3,1
2015_16_20150926_NEW_CHE,2015_16,2015-09-26,,NEW,CHE,0.5,1.5,1.5,2.0,6,6,1.0,1.6666666666666667,3,1.3333333333333333,2.6666666666666665,3,0.2,1.4,5,1.4,2.0,5,0.5,1.5,6,1.5,2.0,6,63,2.5555555555555554,4,1
2015_16_20150926_SOU_SWA,2015_16,2015-09-26,,SOU,SWA,1.1666666666666667,1.3333333333333333,1.1666666666666667,0.8333333333333334,6,6,1.6666666666666667,2.0,3,1.0,1.3333333333333333,3,1.0,1.2,5,1.0,0.6,5,1.1666666666666667,1.3333333333333333,6,1.1666666666666667,0.8333333333333334,6,64,2.578125,4,1
2015_16_20150926_STK_BOU,2015_16,2015-09-26,,STK,BOU,0.8333333333333334,1.5,1.3333333333333333,1.5,6,6,0.6666666666666666,1.3333333333333333,3,1.6666666666666667,2.3333333333333335,3,1.0,1.6,5,1.6,1.6,5,0.8333333333333334,1.5,6,1.3333333333333333,1.5,6,65,2.6,3,1
2015_16_20150926_TOT_MCI,2015_16,2015-09-26,,TOT,MCI,0.8333333333333334,0.6666666666666666,2.0,0.3333333333333333,6,6,1.0,0.6666666666666666,3,2.0,0.0,3,1.0,0.6,5,1.8,0.4,5,0.8333333333333334,0.6666666666666666,6,2.0,0.3333333333333333,6,66,2.606060606060606,5,1
2015_16_20150926_WHU_NOR,2015_16,2015-09-26,,WHU,NOR,2.1666666666666665,1.1666666666666667,1.5,1.6666666666666667,6,6,2.0,2.0,3,1.3333333333333333,1.6666666666666667,3,2.2,1.4,5,1.6,1.4,5,2.1666666666666665,1.1666666666666667,6,1.5,1.6666666666666667,6,67,2.6417910447761193,4,1
