match_id,season,market,selection,opening_price,opening_source_column,opening_source,closing_price,closing_source_column,closing_source,has_opening,has_closing,raw_row,closing_implied_probability,opening_implied_probability,price_change,implied_probability_change,closing_available,opening_available,odds_change,odds_change_pct,probability_change,clv,movement
2019_20_17/08/2019_Man City_Tottenham,2019_20,OVER_2.5,UNDER_2.5,2.5,B365<2.5,BET365,2.62,B365C<2.5,BET365,True,True,16,0.38167938931297707,0.4,0.1200000000000001,-0.0183206106870229,True,True,0.1200000000000001,0.04800000000000004,-0.018320610687022953,0.04800000000000004,DRIFTED
2019_20_18/08/2019_Sheffield United_Crystal Palace,2019_20,OVER_2.5,OVER_2.5,2.3,B365>2.5,BET365,2.1,B365C>2.5,BET365,True,True,17,0.47619047619047616,0.4347826086956522,-0.1999999999999997,0.0414078674948239,True,True,-0.19999999999999973,-0.08695652173913038,0.04140786749482395,-0.08695652173913038,SHORTENED
2019_20_18/08/2019_Sheffield United_Crystal Palace,2019_20,OVER_2.5,UNDER_2.5,1.61,B365<2.5,BET365,1.72,B365C<2.5,BET365,True,True,17,0.5813953488372093,0.6211180124223602,0.1099999999999998,-0.0397226635851508,True,True,0.10999999999999988,0.06832298136645965,-0.039722663585150864,0.06832298136645965,DRIFTED
2019_20_18/08/2019_Chelsea_Leicester,2019_20,OVER_2.5,OVER_2.5,1.9,B365>2.5,BET365,1.8,B365C>2.5,BET365,True,True,18,0.5555555555555556,0.5263157894736842,-0.0999999999999998,0.0292397660818714,True,True,-0.09999999999999987,-0.05263157894736836,0.0292397660818714,-0.05263157894736836,SHORTENED
2019_20_18/08/2019_Chelsea_Leicester,2019_20,OVER_2.5,UNDER_2.5,1.9,B365<2.5,BET365,2.0,B365C<2.5,BET365,True,True,18,0.5,0.5263157894736842,0.1,-0.0263157894736841,True,True,0.10000000000000009,0.05263157894736836,-0.02631578947368418,0.05263157894736836,DRIFTED
2019_20_19/08/2019_Wolves_Man United,2019_20,OVER_2.5,OVER_2.5,2.1,B365>2.5,BET365,2.1,B365C>2.5,BET365,True,True,19,0.47619047619047616,0.47619047619047616,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_19/08/2019_Wolves_Man United,2019_20,OVER_2.5,UNDER_2.5,1.72,B365<2.5,BET365,1.72,B365C<2.5,BET365,True,True,19,0.5813953488372093,0.5813953488372093,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_23/08/2019_Aston Villa_Everton,2019_20,OVER_2.5,OVER_2.5,1.72,B365>2.5,BET365,1.8,B365C>2.5,BET365,True,True,20,0.5555555555555556,0.5813953488372093,0.08,-0.0258397932816537,True,True,0.08000000000000007,0.04651162790697683,-0.025839793281653756,0.04651162790697683,DRIFTED
2019_20_23/08/2019_Aston Villa_Everton,2019_20,OVER_2.5,UNDER_2.5,2.1,B365<2.5,BET365,2.0,B365C<2.5,BET365,True,True,20,0.5,0.47619047619047616,-0.1,0.0238095238095238,True,True,-0.10000000000000009,-0.04761904761904767,0.023809523809523836,-0.04761904761904767,SHORTENED
2019_20_24/08/2019_Norwich_Chelsea,2019_20,OVER_2.5,OVER_2.5,1.53,B365>2.5,BET365,1.57,B365C>2.5,BET365,True,True,21,0.6369426751592356,0.6535947712418301,0.04,-0.0166520960825944,True,True,0.040000000000000036,0.026143790849673332,-0.016652096082594436,0.026143790849673332,DRIFTED
