match_id,season,market,selection,opening_price,opening_source_column,opening_source,closing_price,closing_source_column,closing_source,has_opening,has_closing,raw_row,closing_implied_probability,opening_implied_probability,price_change,implied_probability_change,closing_available,opening_available
2015_16_22/08/2015_Leicester_Tottenham,2015_16,OVER_2.5,UNDER,1.97,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,21,,0.5076142131979695,,,False,True
2015_16_22/08/2015_Man United_Newcastle,2015_16,OVER_2.5,OVER,1.74,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,22,,0.5747126436781609,,,False,True
2015_16_22/08/2015_Man United_Newcastle,2015_16,OVER_2.5,UNDER,2.06,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,22,,0.4854368932038835,,,False,True
2015_16_22/08/2015_Norwich_Stoke,2015_16,OVER_2.5,OVER,2.14,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,23,,0.4672897196261682,,,False,True
2015_16_22/08/2015_Norwich_Stoke,2015_16,OVER_2.5,UNDER,1.69,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,23,,0.591715976331361,,,False,True
2015_16_22/08/2015_Sunderland_Swansea,2015_16,OVER_2.5,OVER,2.18,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,24,,0.4587155963302752,,,False,True
2015_16_22/08/2015_Sunderland_Swansea,2015_16,OVER_2.5,UNDER,1.67,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,24,,0.5988023952095809,,,False,True
2015_16_22/08/2015_West Ham_Bournemouth,2015_16,OVER_2.5,OVER,1.9,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,25,,0.5263157894736842,,,False,True
2015_16_22/08/2015_West Ham_Bournemouth,2015_16,OVER_2.5,UNDER,1.89,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,25,,0.5291005291005292,,,False,True
2015_16_23/08/2015_Everton_Man City,2015_16,OVER_2.5,OVER,1.66,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,26,,0.6024096385542169,,,False,True
2015_16_23/08/2015_Everton_Man City,2015_16,OVER_2.5,UNDER,2.2,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,26,,0.45454545454545453,,,False,True
2015_16_23/08/2015_Watford_Southampton,2015_16,OVER_2.5,OVER,2.13,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,27,,0.4694835680751174,,,False,True
2015_16_23/08/2015_Watford_Southampton,2015_16,OVER_2.5,UNDER,1.7,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,27,,0.5882352941176471,,,False,True
2015_16_23/08/2015_West Brom_Chelsea,2015_16,OVER_2.5,OVER,2.07,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,28,,0.48309178743961356,,,False,True
2015_16_23/08/2015_West Brom_Chelsea,2015_16,OVER_2.5,UNDER,1.74,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,28,,0.5747126436781609,,,False,True
2015_16_24/08/2015_Arsenal_Liverpool,2015_16,OVER_2.5,OVER,1.77,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,29,,0.5649717514124294,,,False,True
2015_16_24/08/2015_Arsenal_Liverpool,2015_16,OVER_2.5,UNDER,2.02,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,29,,0.49504950495049505,,,False,True
2015_16_29/08/2015_Aston Villa_Sunderland,2015_16,OVER_2.5,OVER,2.22,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,30,,0.4504504504504504,,,False,True
2015_16_29/08/2015_Aston Villa_Sunderland,2015_16,OVER_2.5,UNDER,1.64,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,30,,0.6097560975609756,,,False,True
2015_16_29/08/2015_Bournemouth_Leicester,2015_16,OVER_2.5,OVER,1.86,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,31,,0.5376344086021505,,,False,True
2015_16_29/08/2015_Bournemouth_Leicester,2015_16,OVER_2.5,UNDER,1.94,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,31,,0.5154639175257733,,,False,True
2015_16_29/08/2015_Chelsea_Crystal Palace,2015_16,OVER_2.5,OVER,1.68,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,32,,0.5952380952380952,,,False,True
2015_16_29/08/2015_Chelsea_Crystal Palace,2015_16,OVER_2.5,UNDER,2.15,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,32,,0.46511627906976744,,,False,True
2015_16_29/08/2015_Liverpool_West Ham,2015_16,OVER_2.5,OVER,1.68,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,33,,0.5952380952380952,,,False,True
2015_16_29/08/2015_Liverpool_West Ham,2015_16,OVER_2.5,UNDER,2.17,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,33,,0.4608294930875576,,,False,True
2015_16_29/08/2015_Man City_Watford,2015_16,OVER_2.5,OVER,1.37,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,34,,0.7299270072992701,,,False,True
2015_16_29/08/2015_Man City_Watford,2015_16,OVER_2.5,UNDER,2.98,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,34,,0.33557046979865773,,,False,True
2015_16_29/08/2015_Newcastle_Arsenal,2015_16,OVER_2.5,OVER,1.8,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,35,,0.5555555555555556,,,False,True
2015_16_29/08/2015_Newcastle_Arsenal,2015_16,OVER_2.5,UNDER,2.0,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,35,,0.5,,,False,True
2015_16_29/08/2015_Stoke_West Brom,2015_16,OVER_2.5,OVER,2.23,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,36,,0.4484304932735426,,,False,True
2015_16_29/08/2015_Stoke_West Brom,2015_16,OVER_2.5,UNDER,1.64,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,36,,0.6097560975609756,,,False,True
2015_16_29/08/2015_Tottenham_Everton,2015_16,OVER_2.5,OVER,1.83,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,37,,0.5464480874316939,,,False,True
2015_16_29/08/2015_Tottenham_Everton,2015_16,OVER_2.5,UNDER,1.96,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,37,,0.5102040816326531,,,False,True
2015_16_30/08/2015_Southampton_Norwich,2015_16,OVER_2.5,OVER,2.01,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,38,,0.49751243781094534,,,False,True
2015_16_30/08/2015_Southampton_Norwich,2015_16,OVER_2.5,UNDER,1.79,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,38,,0.5586592178770949,,,False,True
2015_16_30/08/2015_Swansea_Man United,2015_16,OVER_2.5,OVER,2.08,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,39,,0.4807692307692307,,,False,True
2015_16_30/08/2015_Swansea_Man United,2015_16,OVER_2.5,UNDER,1.74,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,39,,0.5747126436781609,,,False,True
2015_16_12/09/2015_Arsenal_Stoke,2015_16,OVER_2.5,OVER,1.63,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,40,,0.6134969325153374,,,False,True
2015_16_12/09/2015_Arsenal_Stoke,2015_16,OVER_2.5,UNDER,2.25,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,40,,0.4444444444444444,,,False,True
2015_16_12/09/2015_Crystal Palace_Man City,2015_16,OVER_2.5,OVER,1.63,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,41,,0.6134969325153374,,,False,True
2015_16_12/09/2015_Crystal Palace_Man City,2015_16,OVER_2.5,UNDER,2.27,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,41,,0.44052863436123346,,,False,True
2015_16_12/09/2015_Everton_Chelsea,2015_16,OVER_2.5,OVER,1.99,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,42,,0.5025125628140703,,,False,True
2015_16_12/09/2015_Everton_Chelsea,2015_16,OVER_2.5,UNDER,1.82,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,42,,0.5494505494505494,,,False,True
2015_16_12/09/2015_Man United_Liverpool,2015_16,OVER_2.5,OVER,2.13,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,43,,0.4694835680751174,,,False,True
2015_16_12/09/2015_Man United_Liverpool,2015_16,OVER_2.5,UNDER,1.7,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,43,,0.5882352941176471,,,False,True
2015_16_12/09/2015_Norwich_Bournemouth,2015_16,OVER_2.5,OVER,1.91,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,44,,0.5235602094240838,,,False,True
2015_16_12/09/2015_Norwich_Bournemouth,2015_16,OVER_2.5,UNDER,1.89,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,44,,0.5291005291005292,,,False,True
2015_16_12/09/2015_Watford_Swansea,2015_16,OVER_2.5,OVER,2.13,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,45,,0.4694835680751174,,,False,True
2015_16_12/09/2015_Watford_Swansea,2015_16,OVER_2.5,UNDER,1.7,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,45,,0.5882352941176471,,,False,True
2015_16_12/09/2015_West Brom_Southampton,2015_16,OVER_2.5,OVER,2.35,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,46,,0.425531914893617,,,False,True
2015_16_12/09/2015_West Brom_Southampton,2015_16,OVER_2.5,UNDER,1.58,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,46,,0.6329113924050632,,,False,True
2015_16_13/09/2015_Leicester_Aston Villa,2015_16,OVER_2.5,OVER,1.91,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,47,,0.5235602094240838,,,False,True
2015_16_13/09/2015_Leicester_Aston Villa,2015_16,OVER_2.5,UNDER,1.89,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,47,,0.5291005291005292,,,False,True
2015_16_13/09/2015_Sunderland_Tottenham,2015_16,OVER_2.5,OVER,1.95,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,48,,0.5128205128205129,,,False,True
2015_16_13/09/2015_Sunderland_Tottenham,2015_16,OVER_2.5,UNDER,1.85,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,48,,0.5405405405405405,,,False,True
2015_16_14/09/2015_West Ham_Newcastle,2015_16,OVER_2.5,OVER,1.89,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,49,,0.5291005291005292,,,False,True
2015_16_14/09/2015_West Ham_Newcastle,2015_16,OVER_2.5,UNDER,1.91,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,49,,0.5235602094240838,,,False,True
2015_16_19/09/2015_Aston Villa_West Brom,2015_16,OVER_2.5,OVER,2.37,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,50,,0.42194092827004215,,,False,True
2015_16_19/09/2015_Aston Villa_West Brom,2015_16,OVER_2.5,UNDER,1.57,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,50,,0.6369426751592356,,,False,True
2015_16_19/09/2015_Bournemouth_Sunderland,2015_16,OVER_2.5,OVER,1.87,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,51,,0.53475935828877,,,False,True
2015_16_19/09/2015_Bournemouth_Sunderland,2015_16,OVER_2.5,UNDER,1.93,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,51,,0.5181347150259068,,,False,True
2015_16_19/09/2015_Chelsea_Arsenal,2015_16,OVER_2.5,OVER,1.78,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,52,,0.5617977528089888,,,False,True
2015_16_19/09/2015_Chelsea_Arsenal,2015_16,OVER_2.5,UNDER,2.02,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,52,,0.49504950495049505,,,False,True
2015_16_19/09/2015_Man City_West Ham,2015_16,OVER_2.5,OVER,1.44,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,53,,0.6944444444444444,,,False,True
2015_16_19/09/2015_Man City_West Ham,2015_16,OVER_2.5,UNDER,2.71,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,53,,0.36900369003690037,,,False,True
2015_16_19/09/2015_Newcastle_Watford,2015_16,OVER_2.5,OVER,2.17,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,54,,0.4608294930875576,,,False,True
2015_16_19/09/2015_Newcastle_Watford,2015_16,OVER_2.5,UNDER,1.68,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,54,,0.5952380952380952,,,False,True
2015_16_19/09/2015_Stoke_Leicester,2015_16,OVER_2.5,OVER,2.03,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,55,,0.4926108374384237,,,False,True
2015_16_19/09/2015_Stoke_Leicester,2015_16,OVER_2.5,UNDER,1.77,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,55,,0.5649717514124294,,,False,True
2015_16_19/09/2015_Swansea_Everton,2015_16,OVER_2.5,OVER,2.03,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,56,,0.4926108374384237,,,False,True
2015_16_19/09/2015_Swansea_Everton,2015_16,OVER_2.5,UNDER,1.78,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,56,,0.5617977528089888,,,False,True
2015_16_20/09/2015_Liverpool_Norwich,2015_16,OVER_2.5,OVER,1.86,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,57,,0.5376344086021505,,,False,True
2015_16_20/09/2015_Liverpool_Norwich,2015_16,OVER_2.5,UNDER,1.93,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,57,,0.5181347150259068,,,False,True
2015_16_20/09/2015_Southampton_Man United,2015_16,OVER_2.5,OVER,2.28,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,58,,0.4385964912280702,,,False,True
2015_16_20/09/2015_Southampton_Man United,2015_16,OVER_2.5,UNDER,1.62,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,58,,0.6172839506172839,,,False,True
2015_16_20/09/2015_Tottenham_Crystal Palace,2015_16,OVER_2.5,OVER,1.91,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,59,,0.5235602094240838,,,False,True
2015_16_20/09/2015_Tottenham_Crystal Palace,2015_16,OVER_2.5,UNDER,1.89,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,59,,0.5291005291005292,,,False,True
2015_16_26/09/2015_Leicester_Arsenal,2015_16,OVER_2.5,OVER,1.67,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,60,,0.5988023952095809,,,False,True
2015_16_26/09/2015_Leicester_Arsenal,2015_16,OVER_2.5,UNDER,2.18,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,60,,0.4587155963302752,,,False,True
2015_16_26/09/2015_Liverpool_Aston Villa,2015_16,OVER_2.5,OVER,1.95,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,61,,0.5128205128205129,,,False,True
2015_16_26/09/2015_Liverpool_Aston Villa,2015_16,OVER_2.5,UNDER,1.84,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,61,,0.5434782608695652,,,False,True
