match_id,season,opening_price,closing_price,opening_raw_probability,closing_raw_probability,opening_fair_probability,closing_fair_probability,fair_probability_change,price_clv,fair_probability_clv,opening_overround,closing_overround,opening_margin,closing_margin,selection
2019_20_01/02/2020_Man United_Wolves,2019_20,2.2,2.2,0.45454545454545453,0.45454545454545453,0.43005181347150256,0.43005181347150256,0.0,0.0,0.0,1.0569550930996714,1.0569550930996714,0.056955093099671394,0.056955093099671394,OVER
2019_20_01/02/2020_Newcastle_Norwich,2019_20,2.0,2.1,0.5,0.47619047619047616,0.47368421052631576,0.450261780104712,-0.023422430421603746,-0.04761904761904767,0.052019583843329276,1.0555555555555556,1.0575858250276855,0.05555555555555558,0.0575858250276855,OVER
2019_20_01/02/2020_Watford_Everton,2019_20,2.0,2.0,0.5,0.5,0.47368421052631576,0.47368421052631576,0.0,0.0,0.0,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,OVER
2019_20_01/02/2020_West Ham_Brighton,2019_20,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,0.0,0.0,0.0,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,OVER
2019_20_01/03/2020_Everton_Man United,2019_20,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,0.0,0.0,0.0,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,OVER
2019_20_01/03/2020_Tottenham_Wolves,2019_20,2.2,2.37,0.45454545454545453,0.42194092827004215,0.43005181347150256,0.398477157360406,-0.031574656111096555,-0.07172995780590719,0.07923830896670103,1.0569550930996714,1.058883603429278,0.056955093099671394,0.0588836034292779,OVER
2019_20_01/07/2020_Arsenal_Norwich,2019_20,1.72,1.57,0.5813953488372093,0.6369426751592356,0.549738219895288,0.6015228426395939,0.05178462274430584,0.09554140127388533,-0.08608920405593457,1.0575858250276855,1.058883603429278,0.0575858250276855,0.0588836034292779,OVER
2019_20_01/07/2020_Bournemouth_Newcastle,2019_20,2.37,2.37,0.42194092827004215,0.42194092827004215,0.398477157360406,0.398477157360406,0.0,0.0,0.0,1.058883603429278,1.058883603429278,0.0588836034292779,0.0588836034292779,OVER
2019_20_01/07/2020_Everton_Leicester,2019_20,2.1,2.2,0.47619047619047616,0.45454545454545453,0.450261780104712,0.43005181347150256,-0.020209966633209453,-0.045454545454545525,0.046994259761559354,1.0575858250276855,1.0569550930996714,0.0575858250276855,0.056955093099671394,OVER
2019_20_01/07/2020_West Ham_Chelsea,2019_20,1.72,1.72,0.5813953488372093,0.5813953488372093,0.549738219895288,0.549738219895288,0.0,0.0,0.0,1.0575858250276855,1.0575858250276855,0.0575858250276855,0.0575858250276855,OVER
