match_id,season,selection,opening_price,closing_price,opening_raw_probability,closing_raw_probability,opening_fair_probability,closing_fair_probability,opening_overround,closing_overround,opening_margin,closing_margin,price_clv,fair_probability_clv
2019_20_06/10/2019_Newcastle_Man United,2019_20,OVER,2.2,2.1,0.45454545454545453,0.47619047619047616,0.43005181347150256,0.450261780104712,1.0569550930996714,1.0575858250276855,0.056955093099671394,0.0575858250276855,0.04761904761904767,0.046994259761559354
2019_20_06/10/2019_Southampton_Chelsea,2019_20,OVER,1.72,1.53,0.5813953488372093,0.6535947712418301,0.549738219895288,0.6203473945409429,1.0575858250276855,1.05359477124183,0.0575858250276855,0.0535947712418301,0.12418300653594772,0.12844145102209592
2019_20_07/03/2020_Arsenal_West Ham,2019_20,OVER,1.57,1.53,0.6369426751592356,0.6535947712418301,0.6015228426395939,0.6203473945409429,1.058883603429278,1.05359477124183,0.0588836034292779,0.0535947712418301,0.026143790849673332,0.031294824679879873
2019_20_07/03/2020_Burnley_Tottenham,2019_20,OVER,2.1,2.1,0.47619047619047616,0.47619047619047616,0.450261780104712,0.450261780104712,1.0575858250276855,1.0575858250276855,0.0575858250276855,0.0575858250276855,0.0,0.0
2019_20_07/03/2020_Crystal Palace_Watford,2019_20,OVER,2.3,2.3,0.4347826086956522,0.4347826086956522,0.411764705882353,0.411764705882353,1.0559006211180124,1.0559006211180124,0.05590062111801242,0.05590062111801242,0.0,0.0
2019_20_07/03/2020_Liverpool_Bournemouth,2019_20,OVER,1.44,1.4,0.6944444444444444,0.7142857142857143,0.6563245823389022,0.6818181818181818,1.058080808080808,1.0476190476190477,0.058080808080807955,0.04761904761904767,0.028571428571428692,0.038842975206611285
2019_20_07/03/2020_Sheffield United_Norwich,2019_20,OVER,2.1,2.0,0.47619047619047616,0.5,0.450261780104712,0.47368421052631576,1.0575858250276855,1.0555555555555556,0.0575858250276855,0.05555555555555558,0.050000000000000044,0.052019583843329276
2019_20_07/03/2020_Southampton_Newcastle,2019_20,OVER,1.8,2.0,0.5555555555555556,0.5,0.5263157894736842,0.47368421052631576,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,-0.09999999999999998,-0.09999999999999998
2019_20_07/03/2020_Wolves_Brighton,2019_20,OVER,2.0,2.1,0.5,0.47619047619047616,0.47368421052631576,0.450261780104712,1.0555555555555556,1.0575858250276855,0.05555555555555558,0.0575858250276855,-0.04761904761904767,-0.04944735311227455
2019_20_07/07/2020_Arsenal_Leicester,2019_20,OVER,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,0.0,0.0
2019_20_07/07/2020_Crystal Palace_Chelsea,2019_20,OVER,1.86,1.9,0.5376344086021505,0.5263157894736842,0.523076923076923,0.5,1.027830487033523,1.0526315789473684,0.027830487033523088,0.05263157894736836,-0.021052631578947323,-0.04411764705882337
