bucket,matches,mean_market_probability,actual_over_rate,mean_residual,mean_abs_residual,residual_std,standard_error,ci_95_low,ci_95_high,significant_95,variable,analysis,season
"(0.0, 0.025]",1661,0.5476424904633669,0.5448524984948826,-0.002789991968484309,0.4804274242997546,0.48966993032720235,0.012014857365425837,-0.02633911240471895,0.020759128467750333,False,model_market_difference,model_market_disagreement,
"(0.025, 0.05]",416,0.5536096953849725,0.5504807692307693,-0.003128926154203296,0.48195011230809964,0.4914314797214628,0.024094410622053038,-0.050353970973427246,0.04409611866502066,False,model_market_difference,model_market_disagreement,
"(0.05, 0.1]",30,0.5468478530556333,0.5333333333333333,-0.01351451972230003,0.4992282268828534,0.5121624123858843,0.0935076354566707,-0.1967894852173746,0.16976044577277455,False,model_market_difference,model_market_disagreement,
"(0.1, 1.0]",0,,,,,,,,,False,model_market_difference,model_market_disagreement,
"(-0.101, -0.05]",0,,,,,,,,,False,v08_over_probability,v08_probability,
"(-0.05, -0.025]",0,,,,,,,,,False,v08_over_probability,v08_probability,
"(-0.025, -0.01]",0,,,,,,,,,False,v08_over_probability,v08_probability,
"(-0.01, 0.0]",0,,,,,,,,,False,v08_over_probability,v08_probability,
"(0.0, 0.01]",0,,,,,,,,,False,v08_over_probability,v08_probability,
"(0.01, 0.025]",0,,,,,,,,,False,v08_over_probability,v08_probability,
"(0.025, 0.05]",0,,,,,,,,,False,v08_over_probability,v08_probability,
"(0.05, 0.1]",0,,,,,,,,,False,v08_over_probability,v08_probability,
,380,0.5128391503396232,0.5105263157894737,-0.002312834550149567,0.48038393024556886,0.4896485795191007,0.025118442135792174,-0.05154498113630222,0.046919312036003094,False,,season,2017_18
,380,0.5344729915375559,0.5368421052631579,0.002369113725601973,0.4865494523976363,0.49616372877595133,0.025452662240698795,-0.04751810426616766,0.05225633171737161,False,,season,2018_19
,380,0.5417987209801951,0.5210526315789473,-0.020746089401247694,0.4774244713298673,0.48630250987809537,0.024946792384980133,-0.06964180247580876,0.028149623673313365,False,,season,2019_20
,380,0.5221241694498707,0.5,-0.02212416944987078,0.4926913178668117,0.49886189348503457,0.025591075169792775,-0.07228267678266462,0.02803433788292306,False,,season,2020_21
,380,0.5260567708330547,0.5394736842105263,0.01341691337747162,0.4881234622646717,0.49463114521716955,0.02537404236299521,-0.03631620965399899,0.06315003640894223,False,,season,2021_22
,380,0.5323052598070246,0.5263157894736842,-0.005989470333340465,0.4825628956036335,0.4888979971800372,0.025079938074225344,-0.05514614895882214,0.04316720829214121,False,,season,2022_23
,380,0.5926631782355621,0.6473684210526316,0.054705242817069434,0.4631960662120059,0.47479815256817465,0.02435663130724857,0.006966245454862234,0.10244424017927664,True,,season,2023_24
,380,0.5909277534449282,0.5657894736842105,-0.025138279760717752,0.4790245744936928,0.49223007831528187,0.025250870229832963,-0.07462998541119037,0.024353425889754858,False,,season,2024_25
,380,0.5420917700680828,0.55,0.007908229931917194,0.49142737732675185,0.49758974961509633,0.02552581556622805,-0.042122368577889785,0.05793882844172417,False,,season,2025_26
